KEY ÚNICA,Sistema,Char,Status,Worker,Status,Servidor,Mainchar:,Servidor do main:
82b9ed76-6f14-4b73-95ac-db23167127d334,aceitar,Nordeste Jebcruzado,Concluido,Worker-Auroria,Processado,Auroria,Nordeste Jebcruzado,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d335,aceitar,Nordeste Sem Tempo,Concluido,Worker-Auroria,Processado,Auroria,Nordeste Jebcruzado,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d336,aceitar,Karnackjnr,Concluido,Worker-Auroria,Processado,Auroria,sub comander,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d337,aceitar,Chocolatier Nando,Concluido,Worker-Auroria,Processado,Auroria,Nando Wrathbow,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d338,aceitar,Otavex,Concluido,Worker-Auroria,Processado,Auroria,Yogumunt,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d339,aceitar,Haliasz,Concluido,Worker-Auroria,Processado,Auroria,Yogumunt,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d340,aceitar,Tshaka,Concluido,Worker-Auroria,Processado,Auroria,Sliprc,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d341,invite,Holyziin Paralyzer,Concluido,Worker-Auroria,Processado,Auroria,Holyzera Destroyer,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d342,aceitar,Druid elder,Concluido,Worker-Auroria,Processado,Auroria,Paulin Fucklove,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d343,aceitar,Conti Boomba,Concluido,Worker-Auroria,Processado,Auroria,Mastermau,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d344,aceitar,Manipulador De Runa,Concluido,Worker-Auroria,Processado,Auroria,Monk Fury,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d345,aceitar,Aurosxz,Concluido,Worker-Auroria,Processado,Auroria,Aurosx,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d346,aceitar,Fisico Auroria,Concluido,Worker-Auroria,Processado,Auroria,Augustus quintus,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d347,aceitar,Haoshuko,Concluido,Worker-Auroria,Processado,Auroria,King Luantrs,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d348,aceitar,Otavex,Concluido,Worker-Aur,Processado,Auroria,Yogumunt,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d349,aceitar,Haliasz,Concluido,Worker-Aur,Processado,Auroria,Yogumunt,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d350,aceitar,Luantrs,Concluido,Worker-Aur,Processado,Auroria,King Luantrs,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d351,aceitar,Radityz,Concluido,Worker-Aur,Processado,Auroria,Radityz,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d352,aceitar,manipulador de runa,Concluido,Worker-Aur,Processado,Auroria,Monk Fury,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d353,aceitar,Catarina arrombacu,Concluido,Worker-Aur,Processado,Auroria,Ekbomb Catarina,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d354,aceitar,Danzin Boltada,Concluido,Worker-Aur,Processado,Auroria,Taldocuica,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d355,aceitar,Will Ricaria,Concluido,Worker-Aur,Processado,Auroria,SCAOMRP,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d356,aceitar,Mike Void,Concluido,Worker-Aur,Processado,Auroria,Sir Mike,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d357,aceitar,Coldman,Concluido,Worker-Aur,Processado,Auroria,Kdz King,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d358,aceitar,Saysha,Concluido,Worker-Aur,Processado,Auroria,Karzel,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d359,aceitar,Buttcher Maker,Concluido,Worker-Aur,Processado,Auroria,Vicky Digaristaa,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d360,invite,Dioclezio,Concluido,Worker-Auroria,Processado,Auroria,Dioclezio,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d361,invite,Thorgar Texasteam,Concluido,Worker-Auroria,Processado,Auroria,Almirante Shogun,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d362,aceitar,Veiga Maker Auroria,Concluido,Worker-Auroria,Processado,Auroria,Veiga Ttv,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d363,aceitar,Pneu monia ,Concluido,Worker-Auroria,Processado,Auroria,Prmukz,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d364,aceitar,Laele Auroria,Concluido,Worker-Auroria,Processado,Auroria,Garadevill,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d365,aceitar,Surit Skuriel,Concluido,Worker-Auroria,Processado,Auroria,Niechzfak,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d366,aceitar,Olofin,Concluido,Worker-Auroria,Processado,Auroria,Kolombiano ,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d367,aceitar,Jonny verme,Concluido,Worker-Auroria,Processado,Auroria,Stokers Tabaco,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d368,aceitar,Neto Motoboy,Concluido,Worker-Auroria,Processado,Auroria,Motoboy Deluxe,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d369,invite,Ai bossonaro,Concluido,Worker-Auroria,Processado,Auroria,Nubillal,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d370,aceitar,Anakin Healer,Concluido,Worker-Auroria,Processado,Auroria,Chuko,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d371,invite,Dorde Xibiu,Concluido,Worker-Auroria,Processado,Auroria,Vando abc,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d372,aceitar,Palladinus,Concluido,Worker-Auroria,Processado,Auroria,Terror was coming,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d373,aceitar,Muajaja,Concluido,Worker-Auroria,Processado,Auroria,Muajajaa,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d374,aceitar,Aang Ryomen,Concluido,Worker-Auroria,Processado,Auroria,Jafe,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d375,aceitar,Manoo Bob,Concluido,Worker-Auroria,Processado,Auroria,Mano Bob,Tenebrium
82b9ed76-6f14-4b73-95ac-db23167127d376,aceitar,Ablu sem siio,Concluido,Worker-Auroria,Processado,Auroria,Ciphra,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d377,invite,Iruck / Zuprimito,Concluido,Worker-Auroria,Processado,Auroria,Sio Off Angeelito,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d378,aceitar,Benas,Concluido,Worker-Auroria,Processado,Auroria,Elder Fuzzy,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d379,aceitar,Xopi,Concluido,Worker-Auroria,Processado,Auroria,Matzeira,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d380,aceitar,Lord Puffy,Concluido,Worker-Auroria,Processado,Auroria,Zoe Fry,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d381,aceitar,Doideira The Bruxo,Concluido,Worker-Auroria,Processado,Auroria,Augusto Pusch,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d382,aceitar,Habatai tara,Concluido,Worker-Auroria,Processado,Auroria,sol curuel,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d383,aceitar,Habatai tara,Concluido,Worker-Auroria,Processado,Auroria,sol cruel,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d384,invite,Thorgar Texasteam,Concluido,Worker-Auroria,Processado,Auroria,Almirante Shogun,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d385,invite,Anniel Panqmeuqueixo,Concluido,Worker-Auroria,Processado,Auroria,anniel bomberman,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d386,aceitar,Yeti de Tamanco,Concluido,Worker-Auroria,Processado,Auroria,King Brigod,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d387,aceitar,Tentando Denovomaisum,Concluido,Worker-Auroria,Processado,Auroria,Cachorro on Vesperia,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d388,aceitar,Morcx,Concluido,Worker-Auroria,Processado,Auroria,Morcx,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d389,aceitar,Biazinha Ed,Concluido,Worker-Auroria,Processado,Auroria,Pijolito,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d390,aceitar,Jeca Tatuzin,Concluido,Worker-Auroria,Processado,Auroria,Emythe Zeronov,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d391,aceitar,Auroria Bomba,Concluido,Worker-Auroria,Processado,Auroria,Ze Bamba,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d392,aceitar,Kap,Concluido,Worker-shell,Processado,Auroria,Delanay gzz,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d393,aceitar,Julio Pornstar,Concluido,Worker-shell,Processado,Auroria,Sonhatore,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d394,aceitar,Iruck,Concluido,Worker-shell,Processado,Auroria,Sio Off Angeelito,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d395,aceitar,Hyperekplexia,Concluido,Worker-shell,Processado,Auroria,Cezrath Monarch,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d396,aceitar,Lilith Belladonna,Concluido,Worker-shell,Processado,Auroria,Cezrath Monarch,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d397,aceitar,Yiin,Concluido,Worker-shell,Processado,Auroria,Yiin,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d398,aceitar,Qin Shi Huang,Concluido,Worker-shell,Processado,Auroria,Qin Shi Huang,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d399,aceitar,Gamabunta,Concluido,Worker-shell,Processado,Auroria,Worlok,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d400,aceitar,Qin Shi Huang,Concluido,Worker-shell,Processado,Auroria,Yiin,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d401,aceitar,Qin Shi Huang,Concluido,Worker-shell,Processado,Auroria,Yiin,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d402,aceitar,Yiin,Concluido,Worker-shell,Processado,Auroria,Yiin,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d403,aceitar,Vim Pra Paralizar,Concluido,Worker-shell,Processado,Auroria,Quem Faltava,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d404,aceitar,Lionsage,Concluido,Worker-shell,Processado,Auroria,Leoncoelyonco,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d405,aceitar,Danzzk Auroria,Concluido,Worker-shell,Processado,Auroria,Danzzk,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d406,aceitar,Delano Sem Tempo,Concluido,Worker-Auroria,Processado,Auroria,Lambe Sedah,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d407,aceitar,Matz Taka Cotonete,Concluido,Worker-shell,Processado,Auroria,Jorn Lande,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d408,aceitar,Prikitu Chamuscado,Concluido,Worker-shell,Processado,Auroria,Prikles Catarina,Vesperia
82b9ed76-6f14-4b73-95ac-db23167127d409,aceitar,Sdnotres,Concluido,Worker-Auroria,Processado,Auroria,Gabe the Ruinwalker,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d410,aceitar,Juzehrc,Concluido,Worker-Auroria,Processado,Auroria,Assassin Starc,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d411,aceitar,Sdnotres,Concluido,Worker-Auroria,Processado,Auroria,Gabe the Ruinwalker,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d412,aceitar,Gwendyz,Concluido,Worker-Auroria,Processado,Auroria,Howl Starborn,Bellum
82b9ed76-6f14-4b73-95ac-db23167127d413,aceitar,Chemist,Concluido,Worker-Auroria,Processado,Auroria,Nofa druid,Auroria
82b9ed76-6f14-4b73-95ac-db23167127d414,aceitar,Potoko,Concluido,Worker-Auroria,Processado,Auroria,Rhaenyraa Targaryenn,Vesperia
